,ele,lat,lon,distance
220,29.842,-12.4638214,130.970313,17636.503744917067
221,26.276,-12.463862,130.9708069,17690.318302341246
222,24.037,-12.4639586,130.9716259,17779.887063973478
223,24.1776667,-12.4640584,130.9723312,17857.2682664
224,24.3183333,-12.4641581,130.9730366,17934.6494688
225,24.459,-12.4642579,130.9737419,18012.030671200864
226,25.043,-12.4644519,130.9744639,18093.420801715853
227,29.834,-12.464795,130.9755821,18220.72836910692
228,32.0,-12.4650253,130.9761447,18286.96275389532
229,30.492,-12.46542,130.9769422,18384.03808120805
230,29.81,-12.4656915,130.9773923,18441.48004052965
231,29.405,-12.4660082,130.9778878,18505.7805707
232,29.0,-12.4663248,130.9783834,18570.08110093092
233,30.041,-12.4669917,130.9793774,18701.02457213272
234,30.977,-12.4672697,130.9797762,18754.225677513747
235,30.213,-12.467517,130.9802187,18809.91356189441
236,31.1065,-12.4679077,130.980851,18891.1742036
237,32.0,-12.4682983,130.9814832,18972.4348452717
238,30.996,-12.468745,130.9822198,19066.60233433877
239,32.943,-12.4690335,130.9827936,19136.67545403827
240,35.901,-12.4694628,130.9838936,19265.40561367604
241,33.951,-12.469553,130.9842295,19303.228990434647
242,32.159,-12.4697053,130.9848823,19376.10100926932
243,35.301,-12.4699427,130.9859703,19497.145281347228
244,36.614,-12.4701035,130.9867336,19581.92500784116
245,36.0113333,-12.4702226,130.9872987,19644.6946156
246,35.4086667,-12.4703416,130.9878639,19707.4642234
247,34.806,-12.4704607,130.988429,19770.23383121708
248,37.648,-12.4706045,130.989107,19845.567917299744
249,39.059,-12.4707606,130.989833,19926.279565559573
250,37.182,-12.4709737,130.9907797,20031.765855348
251,39.392,-12.471085,130.9912833,20087.82552569525
252,41.022,-12.4713399,130.992314,20203.29658436897
253,39.996,-12.4715309,130.992913,20271.7055731
254,38.97,-12.4717219,130.9935119,20340.114561787
255,43.015,-12.4721362,130.9944575,20452.641634307827
256,42.959,-12.4722908,130.9947687,20490.550722424206
257,46.32,-12.4727694,130.995733,20607.99486859722
258,44.672,-12.4729621,130.996055,20648.99864106522
259,43.986,-12.4733386,130.9966628,20727.14741727776
260,45.456,-12.4737622,130.9972404,20805.57911689421
261,44.9,-12.4742495,130.9978711,20892.905585649198
262,43.383,-12.474669,130.9983496,20962.72498573888
263,41.103,-12.4751712,130.9988746,21042.51994197129
264,37.5865,-12.4758306,130.999495,21142.0936995
265,34.07,-12.4764899,131.0001154,21241.66745695133
266,30.857,-12.4770273,131.0006169,21322.50872643333
267,29.974,-12.4772931,131.0008652,21362.511820312127
268,31.75,-12.4778247,131.0013618,21442.517951105987
269,29.439,-12.4784893,131.0019822,21542.50817730901
270,29.334,-12.4790132,131.0024696,21621.20861833149
271,30.88,-12.4796307,131.0030578,21714.9748701
272,32.426,-12.4802481,131.003646,21808.7411219
273,33.972,-12.4808656,131.0042342,21902.50737367975
