,ele,lat,lon,distance,temp
13512,400.285,-20.5754927,134.2547933,1097570.5392861152,13719.0
13515,399.45,-20.5757648,134.2545193,1097612.121083056,13720.0
13518,397.519,-20.5764452,134.2538116,1097717.7282676972,13721.0
13519,395.19,-20.576974,134.2532742,1097798.8894711104,13722.0
13520,392.302,-20.5776578,134.2525838,1097903.5163260072,13723.0
13521,392.186,-20.5781056,134.2521387,1097971.5331061704,13724.0
13523,392.703,-20.5783707,134.2518708,1098012.112670573,13725.0
13526,394.537,-20.5795417,134.2506854,1098191.505787079,13727.0
13527,396.716,-20.579988,134.2502436,1098259.1661952373,13728.0
13528,394.247,-20.5804077,134.2498077,1098324.2583095906,13729.0
13530,392.091,-20.5809482,134.2492853,1098405.3220985248,13730.0
13532,392.902,-20.5816822,134.2486812,1098508.3837251451,13731.0
13534,392.342,-20.582448,134.2481724,1098608.699018753,13732.0
13535,390.701,-20.5829259,134.2479105,1098668.4245183568,13733.0
13539,388.997,-20.5838189,134.247503,1098776.4136391082,13734.0
13540,387.101,-20.5845402,134.2471779,1098863.4657945049,13735.0
13541,385.314,-20.5849128,134.2470102,1098908.4245219727,13736.0
13544,387.491,-20.58569,134.2466687,1099001.8717854158,13737.0
13545,389.721,-20.5863098,134.246394,1099076.4870507943,13738.0
13546,387.929,-20.587234,134.2459853,1099187.7113819332,13739.0
13547,389.625,-20.5878417,134.2457237,1099260.5650185484,13740.0
13548,391.0,-20.588407,134.2454771,1099328.4627870983,13741.0
13549,389.428,-20.5889443,134.245226,1099393.6751217698,13742.0
13551,387.116,-20.5901645,134.2446817,1099540.711361861,13744.0
13554,384.108,-20.5908632,134.2443341,1099626.4367813577,13745.0
13556,386.713,-20.5914242,134.2440039,1099697.660955054,13746.0
13558,389.79,-20.5919053,134.2436703,1099761.4500962584,13747.0
13562,388.454,-20.5925809,134.2431151,1099856.26688107,13748.0
13567,388.31,-20.5931974,134.2424814,1099951.4238880689,13749.0
13569,385.391,-20.5937196,134.2418838,1100036.5178699603,13750.0
13571,384.967,-20.5941559,134.2413843,1100107.6295299942,13751.0
13573,381.94,-20.5948057,134.2406444,1100213.2337140534,13752.0
13574,381.976,-20.5949885,134.2404375,1100242.8472211575,13753.0
13576,382.312,-20.5955997,134.2397329,1100342.841617685,13754.0
13579,382.039,-20.5961219,134.2391567,1100426.3312773602,13755.0
13580,383.0,-20.5967159,134.2384948,1100521.7732385136,13756.0
13581,382.86,-20.5972472,134.2379002,1100607.333696865,13757.0
13582,378.89,-20.5980786,134.2369483,1100742.8453168252,13759.0
13585,378.702,-20.5984467,134.2365269,1100802.8386944141,13760.0
13586,376.905,-20.5989876,134.2359076,1100891.0010905662,13761.0
13588,377.861,-20.6000463,134.2346991,1101063.2825675162,13763.0
13589,378.439,-20.6012694,134.2333149,1101261.4087457475,13765.0
13591,378.275,-20.6015652,134.2329871,1101308.8022644704,13766.0
13593,378.185,-20.6022983,134.2321513,1101428.0199024146,13767.0
13594,378.25,-20.6023929,134.2320421,1101443.5064845122,13768.0
13595,372.671,-20.6030031,134.2313482,1101542.6023494054,13769.0
13596,376.295,-20.6035332,134.2307425,1101628.9091435862,13770.0
13597,372.56,-20.6041389,134.2300556,1101727.131094435,13771.0
13598,374.619,-20.6046711,134.2294481,1101813.7338827406,13772.0
13599,373.967,-20.6054337,134.2285948,1101936.52759443,13774.0
13601,373.807,-20.6060538,134.2278887,1102037.302357278,13775.0
13602,372.92,-20.6064138,134.2274686,1102096.5833287986,13776.0
13604,374.153,-20.6068227,134.2270171,1102161.9745668108,13777.0
13606,370.375,-20.6073293,134.2264736,1102241.8120235677,13778.0
13608,375.642,-20.6079205,134.2258831,1102331.808623047,13779.0
13610,371.764,-20.6084169,134.2254063,1102406.0350581608,13780.0
13614,371.869,-20.6089631,134.2249061,1102486.0385459824,13781.0
13617,371.623,-20.6094888,134.2244594,1102560.7284648323,13782.0
13618,373.571,-20.6101388,134.2239284,1102651.713132601,13783.0
13620,371.737,-20.6109124,134.2233381,1102757.4208453891,13784.0
13621,370.009,-20.6113217,134.2230448,1102812.2221392116,13785.0
13623,372.684,-20.6121761,134.2224643,1102924.8177578615,13786.0
13624,372.993,-20.6125636,134.2222311,1102974.2712109664,13787.0
13626,373.174,-20.6131996,134.2218441,1103055.6578967527,13788.0
13628,373.265,-20.6137858,134.2215058,1103129.7418744592,13789.0
13630,373.066,-20.6144662,134.2211538,1103213.8092116206,13790.0
13635,371.533,-20.6151511,134.220812,1103297.8670208184,13791.0
13639,370.581,-20.61599,134.220422,1103399.6032108245,13792.0
13640,371.852,-20.6164379,134.2202368,1103453.0070084925,13793.0
13641,371.479,-20.6171497,134.2199585,1103537.2886061058,13794.0
13643,366.7,-20.6182876,134.2195475,1103670.863705739,13795.0
13644,367.051,-20.618621,134.2194387,1103709.6267580923,13796.0
13645,369.537,-20.6192647,134.2192535,1103783.752609975,13797.0
13646,367.929,-20.6197695,134.2191095,1103841.8499558307,13798.0
13653,368.023,-20.6205066,134.2189251,1103926.0314680133,13799.0
13655,366.447,-20.6213889,134.2187352,1104026.121011552,13800.0
13656,366.16,-20.6218999,134.2186362,1104083.8681533483,13801.0
13659,364.523,-20.6227142,134.218505,1104175.4568616636,13802.0
13661,364.489,-20.6235973,134.218403,1104274.2256344114,13803.0
13662,365.452,-20.6240837,134.2183565,1104328.52690542,13804.0
13664,366.427,-20.6251156,134.2182897,1104443.4834081437,13805.0
13665,367.18,-20.6256427,134.2182792,1104502.1044390723,13806.0
13668,368.365,-20.6262874,134.2182655,1104573.8103673428,13807.0
13674,368.0,-20.6269455,134.218277,1104647.0135227884,13808.0
13676,366.961,-20.6278756,134.2183167,1104750.5271689866,13809.0
13677,364.538,-20.6283992,134.2183482,1104808.8410428197,13810.0
13680,364.214,-20.6290849,134.2184174,1104885.4287191923,13811.0
13682,365.0,-20.6297622,134.2185037,1104961.2829906938,13812.0
13685,364.308,-20.6307372,134.2186574,1105070.8839399822,13813.0
13688,365.641,-20.6313816,134.2187864,1105143.7954746506,13814.0
13690,366.187,-20.6318975,134.2188938,1105202.239771985,13815.0
13693,364.166,-20.6328606,134.2191299,1105312.1140098623,13816.0
13694,364.361,-20.6334221,134.2192893,1105376.7158275244,13817.0
13696,363.307,-20.6346064,134.2196455,1105513.522757235,13818.0
13697,362.489,-20.6352598,134.2198482,1105589.1774873242,13819.0
13698,361.935,-20.6365449,134.2202368,1105737.6856153065,13821.0
13700,362.0,-20.6370361,134.2203946,1105794.7195302194,13822.0
13702,363.682,-20.6376783,134.220587,1105868.8824757736,13823.0
13703,361.18,-20.6383381,134.2207874,1105945.1549909555,13824.0
13704,363.168,-20.6389946,134.2209885,1106021.094625548,13825.0
13705,364.337,-20.6396052,134.2211782,1106091.8016047596,13826.0
13708,363.514,-20.6402237,134.2213398,1106162.66650777,13827.0
13713,362.492,-20.6410485,134.2215654,1106257.3454481822,13828.0
13715,362.218,-20.6416473,134.2217317,1106326.1411619962,13829.0
13718,363.584,-20.6423127,134.2219258,1106402.8485436323,13830.0
13721,363.066,-20.6432082,134.2221891,1106506.1241253803,13831.0
13724,364.535,-20.6437495,134.2223514,1106568.6389188408,13832.0
13726,362.711,-20.6445118,134.2225804,1106656.6895251754,13833.0
13728,362.681,-20.6454026,134.2228421,1106759.4169261074,13834.0
13730,362.14,-20.64615,134.2230667,1106845.7475496363,13835.0
13731,363.354,-20.6465836,134.2231957,1106895.7952792984,13836.0
13733,364.998,-20.647223,134.2233864,1106969.6106320338,13837.0
13735,364.693,-20.6479733,134.2236069,1107056.1379215159,13838.0
13736,362.093,-20.6508924,134.2244771,1107393.1194701805,13842.0
13737,362.074,-20.6565639,134.2261934,1108048.5578929698,13850.0
13738,361.376,-20.6582065,134.2266861,1108238.2642809649,13852.0
13739,362.416,-20.6590184,134.2269184,1108331.722822541,13854.0
13740,357.443,-20.659836,134.2271716,1108426.3757545059,13855.0
13741,361.224,-20.6606868,134.2274158,1108524.332787212,13856.0
13743,359.078,-20.6619228,134.22776,1108666.3600022397,13858.0
13744,361.045,-20.663187,134.2280735,1108810.6671360808,13860.0
13745,359.331,-20.6642361,134.2283032,1108929.7445288212,13861.0
13746,357.249,-20.6922914,134.2338853,1112102.9412178746,13901.0
13747,358.529,-20.6931865,134.2340647,1112204.2061518137,13902.0
13749,358.0,-20.6935412,134.2341353,1112244.3248847758,13903.0
