Time,Current1,Current2,Voltage,Speed,SOC,Distance,2
14/08:54:20,0.5,1.23,117.74,0.099,35.14,0.0,327
14/08:54:21,0.5,1.16,117.72,0.088,35.14,0.0,328
14/08:54:21,0.5,1.1,117.71,0.099,35.14,0.0,329
14/08:54:22,0.5,1.04,117.69,0.099,35.14,0.0,330
14/08:54:23,0.51,1.01,117.68,0.011,35.14,0.0,331
14/08:54:23,0.51,1.02,117.68,0.055,35.14,0.0,332
14/08:54:23,0.51,1.03,117.67,0.055,35.14,0.0,333
14/08:54:24,0.5,1.06,117.67,0.088,35.14,0.0,334
14/08:54:25,0.5,1.09,117.67,0.088,35.14,0.0,335
14/08:54:25,0.5,1.13,117.68,0.022,35.14,0.0,336
14/08:54:26,0.5,1.17,117.69,0.022,35.14,0.0,337
14/08:54:27,0.49,1.23,117.72,0.154,35.14,0.0,338
14/08:54:27,0.49,1.26,117.72,0.165,35.14,0.0,339
14/08:54:27,0.5,1.28,117.73,0.077,35.14,0.0,340
14/08:54:29,0.5,1.28,117.71,0.011,35.14,0.0,341
14/08:54:29,0.5,1.28,117.72,0.011,35.14,0.0,342
14/08:54:30,0.5,1.26,117.72,0.011,35.14,0.0,343
14/08:54:30,0.49,1.25,117.72,0.022,35.14,0.0,344
14/08:54:31,0.5,1.24,117.71,0.011,35.14,0.0,345
14/08:54:31,0.5,1.24,117.71,0.099,35.14,0.0,346
14/08:54:33,0.5,1.23,117.71,0.011,35.14,0.0,347
14/08:54:33,0.5,1.22,117.71,0.066,35.14,0.0,348
14/08:54:34,0.5,1.23,117.71,0.022,35.14,0.0,349
14/08:54:35,0.5,1.25,117.71,0.011,35.14,0.0,350
14/08:54:35,0.5,1.27,117.71,0.11,35.14,0.0,351
14/08:54:35,0.49,1.28,117.71,0.11,35.14,0.0,352
14/08:54:36,0.5,1.28,117.71,0.022,35.14,0.0,353
14/08:54:37,0.49,1.3,117.71,0.022,35.14,0.0,354
14/08:54:37,0.49,1.33,117.72,0.011,35.14,0.0,355
14/08:54:38,0.49,1.35,117.72,0.077,35.14,0.0,356
14/08:54:38,0.49,1.36,117.71,0.143,35.14,0.0,357
14/08:54:39,0.49,1.37,117.7,0.132,35.14,0.0,358
14/08:54:39,0.49,1.36,117.7,0.011,35.14,0.0,359
14/08:54:40,0.5,1.37,117.7,0.011,35.14,0.0,360
14/08:54:40,0.5,1.37,117.69,0.011,35.14,0.0,361
14/08:54:41,0.5,1.38,117.69,0.011,35.14,0.0,362
14/08:54:41,0.5,1.37,117.69,0.0,35.15,0.0,363
14/08:54:42,0.5,1.36,117.69,0.0,35.15,0.0,364
14/08:54:43,0.5,1.35,117.69,0.0,35.15,0.0,365
14/08:54:43,0.49,1.34,117.7,0.011,35.15,0.0,366
14/08:54:44,0.5,1.31,117.7,0.0,35.15,0.0,367
14/08:54:44,0.49,1.28,117.7,0.011,35.15,0.0,368
14/08:54:45,0.49,1.27,117.7,0.022,35.15,0.0,369
14/08:54:46,0.49,1.26,117.7,0.011,35.15,0.0,370
14/08:54:46,0.49,1.26,117.69,0.011,35.15,0.0,371
14/08:54:47,0.49,1.27,117.69,0.055,35.15,0.0,372
14/08:54:48,0.49,1.27,117.69,0.121,35.15,0.0,373
14/08:54:48,0.49,1.28,117.68,0.121,35.15,0.0,374
14/08:54:49,0.5,1.32,117.68,0.022,35.15,0.0,375
14/08:54:49,0.5,1.34,117.68,0.011,35.15,0.0,376
14/08:54:50,0.5,1.37,117.68,0.011,35.15,0.0,377
14/08:54:51,0.5,1.42,117.69,0.011,35.15,0.0,378
14/08:54:51,0.5,1.43,117.7,0.011,35.15,0.0,379
14/08:54:53,0.5,1.43,117.71,0.099,35.15,0.0,380
14/08:54:54,0.5,1.42,117.72,0.066,35.15,0.0,381
14/08:54:54,0.5,1.41,117.72,0.011,35.15,0.0,382
14/08:54:55,0.51,1.39,117.72,0.0,35.15,0.0,383
14/08:54:56,0.51,1.38,117.71,0.011,35.15,0.0,384
14/08:54:56,0.51,1.39,117.71,0.066,35.15,0.0,385
14/08:54:57,0.51,1.39,117.71,0.077,35.15,0.0,386
14/08:54:57,0.5,1.4,117.71,0.066,35.15,0.0,387
14/08:54:58,0.5,1.4,117.7,0.011,35.15,0.0,388
14/08:54:59,0.5,1.37,117.7,0.022,35.15,0.0,389
14/08:54:59,0.49,1.37,117.71,0.143,35.15,0.0,390
14/08:55:00,0.49,1.37,117.72,0.132,35.15,0.0,391
14/08:55:00,0.49,1.36,117.72,0.011,35.15,0.0,392
14/08:55:01,0.5,1.35,117.72,0.011,35.15,0.0,393
14/08:55:01,0.49,1.34,117.72,0.011,35.15,0.0,394
14/08:55:02,0.5,1.35,117.72,0.077,35.15,0.0,395
14/08:55:03,0.5,1.35,117.72,0.099,35.15,0.0,396
14/08:55:03,0.5,1.36,117.71,0.044,35.15,0.0,397
14/08:55:04,0.5,1.36,117.71,0.011,35.15,0.0,398
14/08:55:05,0.5,1.37,117.7,0.099,35.15,0.0,399
